ts,price,mrp,in_stock,seller,shipper
2026-08-08T21:55:19+00:00,594.00,1205.00,1,,
2026-08-08T22:24:22+00:00,594.00,1205.00,1,,
2026-08-08T22:57:24+00:00,594.00,1205.00,1,,
2026-08-08T23:24:15+00:00,594.00,1205.00,1,,
2026-08-08T23:54:05+00:00,594.00,1205.00,1,,
2026-08-09T01:22:22+00:00,594.00,1205.00,1,,
2026-08-09T03:09:37+00:00,594.00,1205.00,1,,
2026-08-09T04:33:44+00:00,594.00,1205.00,1,,
2026-08-09T05:31:38+00:00,594.00,1205.00,1,,
2026-08-09T06:09:55+00:00,594.00,1205.00,1,,
2026-08-09T07:12:43+00:00,594.00,1205.00,1,,
2026-08-09T08:00:06+00:00,594.00,1205.00,1,,
2026-08-09T08:44:40+00:00,594.00,1205.00,1,,
2026-08-09T09:24:00+00:00,594.00,1205.00,1,,
2026-08-09T10:04:16+00:00,594.00,1205.00,1,,
2026-08-09T10:48:47+00:00,594.00,1205.00,1,,
2026-08-09T11:14:15+00:00,594.00,1205.00,1,,
2026-08-09T11:48:07+00:00,594.00,1205.00,1,,
2026-08-09T12:16:37+00:00,594.00,1205.00,1,,
2026-08-09T13:18:34+00:00,594.00,1205.00,1,,
2026-08-09T14:01:54+00:00,594.00,1205.00,1,,
2026-08-09T14:40:26+00:00,594.00,1205.00,1,,
2026-08-09T15:43:06+00:00,594.00,1205.00,1,,
2026-08-09T16:49:53+00:00,594.00,1205.00,1,,
2026-08-09T17:16:53+00:00,594.00,1205.00,1,,
2026-08-09T17:50:21+00:00,594.00,1205.00,1,,
2026-08-09T18:17:15+00:00,594.00,1205.00,1,,
2026-08-09T19:04:19+00:00,594.00,1205.00,1,,
2026-08-09T19:44:55+00:00,594.00,1205.00,1,,
2026-08-09T20:12:18+00:00,594.00,1205.00,1,,
2026-08-09T20:50:28+00:00,594.00,1205.00,1,,
2026-08-09T21:16:49+00:00,594.00,1205.00,1,,
2026-08-09T21:50:25+00:00,594.00,1205.00,1,,
2026-08-09T22:52:46+00:00,594.00,1205.00,1,,
2026-08-09T23:49:50+00:00,594.00,1205.00,1,,
2026-08-10T00:38:15+00:00,594.00,1205.00,1,,
2026-08-10T02:55:54+00:00,594.00,1205.00,1,,
2026-08-10T04:26:55+00:00,594.00,1205.00,1,,
2026-08-10T05:54:34+00:00,594.00,1205.00,1,,
2026-08-10T07:24:52+00:00,594.00,1205.00,1,,
2026-08-10T08:56:59+00:00,594.00,1205.00,1,,
2026-08-10T10:13:36+00:00,594.00,1205.00,1,,
2026-08-10T11:28:11+00:00,594.00,1205.00,1,,
2026-08-10T12:07:40+00:00,594.00,1205.00,1,,
2026-08-10T13:38:13+00:00,594.00,1205.00,1,,
2026-08-10T14:40:37+00:00,594.00,1205.00,1,,
2026-08-10T15:35:22+00:00,594.00,1205.00,1,,
2026-08-10T16:27:29+00:00,594.00,1205.00,1,,
2026-08-10T17:24:22+00:00,594.00,1205.00,1,,
2026-08-10T18:12:30+00:00,594.00,1205.00,1,,
2026-08-10T19:14:56+00:00,594.00,1205.00,1,,
2026-08-10T20:04:09+00:00,594.00,1205.00,1,,
2026-08-10T20:57:04+00:00,594.00,1205.00,1,,
2026-08-10T21:37:44+00:00,594.00,1205.00,1,,
2026-08-10T22:17:28+00:00,594.00,1205.00,1,,
2026-08-10T22:58:49+00:00,594.00,1205.00,1,,
2026-08-10T23:32:48+00:00,594.00,1205.00,1,,
